Date,Close
17/09/2007,4494.649902
18/09/2007,4546.200195
19/09/2007,4732.350098
20/09/2007,4747.549805
21/09/2007,4837.549805
24/09/2007,4932.200195
25/09/2007,4938.850098
26/09/2007,4940.5
27/09/2007,5000.549805
28/09/2007,5021.350098
01/10/2007,5068.950195
03/10/2007,5210.799805
04/10/2007,5208.649902
05/10/2007,5185.850098
08/10/2007,5085.100098
09/10/2007,5327.25
10/10/2007,5441.450195
11/10/2007,5524.850098
12/10/2007,5428.25
15/10/2007,5670.399902
16/10/2007,5668.049805
17/10/2007,5559.299805
18/10/2007,5351
19/10/2007,5215.299805
22/10/2007,5184
23/10/2007,5473.700195
24/10/2007,5496.149902
25/10/2007,5568.950195
26/10/2007,5702.299805
29/10/2007,5905.899902
30/10/2007,5868.75
31/10/2007,5900.649902
01/11/2007,5866.450195
02/11/2007,5932.399902
05/11/2007,5847.299805
06/11/2007,5786.5
07/11/2007,5782.350098
08/11/2007,5698.75
12/11/2007,5617.100098
13/11/2007,5695.399902
14/11/2007,5937.899902
15/11/2007,5912.100098
16/11/2007,5906.850098
19/11/2007,5907.649902
20/11/2007,5780.899902
21/11/2007,5561.049805
22/11/2007,5519.350098
23/11/2007,5608.600098
26/11/2007,5731.700195
27/11/2007,5698.149902
28/11/2007,5617.549805
29/11/2007,5634.600098
30/11/2007,5762.75
03/12/2007,5865
04/12/2007,5858.350098
05/12/2007,5940
06/12/2007,5954.700195
07/12/2007,5974.299805
10/12/2007,5960.600098
11/12/2007,6097.25
12/12/2007,6159.299805
13/12/2007,6058.100098
14/12/2007,6047.700195
17/12/2007,5777
18/12/2007,5742.299805
19/12/2007,5751.149902
20/12/2007,5766.5
24/12/2007,5985.100098
26/12/2007,6070.75
27/12/2007,6081.5
28/12/2007,6079.700195
31/12/2007,6138.600098
01/01/2008,6144.350098
02/01/2008,6179.399902
03/01/2008,6178.549805
04/01/2008,6274.299805
07/01/2008,6279.100098
08/01/2008,6287.850098
09/01/2008,6272
10/01/2008,6156.950195
11/01/2008,6200.100098
14/01/2008,6206.799805
15/01/2008,6074.25
16/01/2008,5935.75
17/01/2008,5913.200195
18/01/2008,5705.299805
21/01/2008,5208.799805
22/01/2008,4899.299805
23/01/2008,5203.399902
24/01/2008,5033.450195
25/01/2008,5383.350098
28/01/2008,5274.100098
29/01/2008,5280.799805
30/01/2008,5167.600098
31/01/2008,5137.450195
01/02/2008,5317.25
04/02/2008,5463.5
05/02/2008,5483.899902
06/02/2008,5322.549805
07/02/2008,5133.25
08/02/2008,5120.350098
11/02/2008,4857
12/02/2008,4838.25
13/02/2008,4929.450195
14/02/2008,5202
15/02/2008,5302.899902
18/02/2008,5276.899902
19/02/2008,5280.799805
20/02/2008,5154.450195
21/02/2008,5191.799805
22/02/2008,5110.75
25/02/2008,5200.700195
26/02/2008,5270.049805
27/02/2008,5268.399902
28/02/2008,5285.100098
29/02/2008,5223.5
03/03/2008,4953
04/03/2008,4864.25
05/03/2008,4921.399902
07/03/2008,4771.600098
10/03/2008,4800.399902
11/03/2008,4865.899902
12/03/2008,4872
13/03/2008,4623.600098
14/03/2008,4745.799805
17/03/2008,4503.100098
18/03/2008,4533
19/03/2008,4573.950195
24/03/2008,4609.850098
25/03/2008,4877.5
26/03/2008,4828.850098
27/03/2008,4830.25
28/03/2008,4942
31/03/2008,4734.5
01/04/2008,4739.549805
02/04/2008,4754.200195
03/04/2008,4771.600098
04/04/2008,4647
07/04/2008,4761.200195
08/04/2008,4709.649902
09/04/2008,4747.049805
10/04/2008,4733
11/04/2008,4777.799805
15/04/2008,4879.649902
16/04/2008,4887.299805
17/04/2008,4958.399902
21/04/2008,5037
22/04/2008,5049.299805
23/04/2008,5022.799805
24/04/2008,4999.850098
25/04/2008,5111.700195
28/04/2008,5089.649902
29/04/2008,5195.5
30/04/2008,5165.899902
02/05/2008,5228.200195
05/05/2008,5192.25
06/05/2008,5144.649902
07/05/2008,5135.5
08/05/2008,5081.700195
09/05/2008,4982.600098
12/05/2008,5012.649902
13/05/2008,4957.799805
14/05/2008,5011.75
15/05/2008,5115.25
16/05/2008,5157.700195
20/05/2008,5104.950195
21/05/2008,5117.649902
22/05/2008,5025.450195
23/05/2008,4946.549805
26/05/2008,4875.049805
27/05/2008,4859.799805
28/05/2008,4918.350098
29/05/2008,4835.299805
30/05/2008,4870.100098
02/06/2008,4739.600098
03/06/2008,4715.899902
04/06/2008,4585.600098
05/06/2008,4676.950195
06/06/2008,4627.799805
09/06/2008,4500.950195
10/06/2008,4449.799805
11/06/2008,4523.600098
12/06/2008,4539.350098
13/06/2008,4517.100098
16/06/2008,4572.5
17/06/2008,4653
18/06/2008,4582.399902
19/06/2008,4504.25
20/06/2008,4347.549805
23/06/2008,4266.399902
24/06/2008,4191.100098
25/06/2008,4252.649902
26/06/2008,4315.850098
27/06/2008,4136.649902
30/06/2008,4040.550049
01/07/2008,3896.75
02/07/2008,4093.350098
03/07/2008,3925.75
04/07/2008,4016
07/07/2008,4030
08/07/2008,3988.550049
09/07/2008,4157.100098
10/07/2008,4162.200195
11/07/2008,4049
14/07/2008,4039.699951
15/07/2008,3861.100098
16/07/2008,3816.699951
17/07/2008,3947.199951
18/07/2008,4092.25
21/07/2008,4159.5
22/07/2008,4240.100098
23/07/2008,4476.799805
24/07/2008,4433.549805
25/07/2008,4311.850098
28/07/2008,4332.100098
29/07/2008,4189.850098
30/07/2008,4313.549805
31/07/2008,4332.950195
01/08/2008,4413.549805
04/08/2008,4395.350098
05/08/2008,4502.850098
06/08/2008,4517.549805
07/08/2008,4523.850098
08/08/2008,4529.5
